
> be-nc-news@1.0.0 queries-dev
> node ./db/run-queries.js

Connected to nc_news
[
  { comment_id: 7, votes: 12 },
  { comment_id: 12, votes: 15 },
  { comment_id: 15, votes: 12 },
  { comment_id: 24, votes: 16 },
  { comment_id: 25, votes: 20 },
  { comment_id: 27, votes: 12 },
  { comment_id: 30, votes: 14 },
  { comment_id: 31, votes: 11 },
  { comment_id: 32, votes: 16 },
  { comment_id: 34, votes: 13 },
  { comment_id: 36, votes: 17 },
  { comment_id: 37, votes: 12 },
  { comment_id: 39, votes: 16 },
  { comment_id: 42, votes: 16 },
  { comment_id: 48, votes: 12 },
  { comment_id: 49, votes: 13 },
  { comment_id: 58, votes: 12 },
  { comment_id: 60, votes: 19 },
  { comment_id: 61, votes: 13 },
  { comment_id: 66, votes: 15 },
  { comment_id: 73, votes: 16 },
  { comment_id: 81, votes: 12 },
  { comment_id: 86, votes: 14 },
  { comment_id: 95, votes: 11 },
  { comment_id: 96, votes: 11 },
  { comment_id: 97, votes: 19 },
  { comment_id: 99, votes: 17 },
  { comment_id: 107, votes: 12 },
  { comment_id: 110, votes: 16 },
  { comment_id: 112, votes: 11 },
  { comment_id: 115, votes: 12 },
  { comment_id: 119, votes: 20 },
  { comment_id: 120, votes: 18 },
  { comment_id: 122, votes: 19 },
  { comment_id: 123, votes: 19 },
  { comment_id: 127, votes: 19 },
  { comment_id: 130, votes: 18 },
  { comment_id: 131, votes: 18 },
  { comment_id: 132, votes: 19 },
  { comment_id: 133, votes: 15 },
  { comment_id: 136, votes: 18 },
  { comment_id: 139, votes: 19 },
  { comment_id: 144, votes: 19 },
  { comment_id: 151, votes: 14 },
  { comment_id: 152, votes: 18 },
  { comment_id: 156, votes: 18 },
  { comment_id: 161, votes: 18 },
  { comment_id: 162, votes: 14 },
  { comment_id: 163, votes: 11 },
  { comment_id: 164, votes: 12 },
  { comment_id: 165, votes: 19 },
  { comment_id: 166, votes: 12 },
  { comment_id: 167, votes: 19 },
  { comment_id: 170, votes: 13 },
  { comment_id: 172, votes: 16 },
  { comment_id: 173, votes: 16 },
  { comment_id: 183, votes: 15 },
  { comment_id: 185, votes: 14 },
  { comment_id: 186, votes: 19 },
  { comment_id: 187, votes: 14 },
  { comment_id: 188, votes: 19 },
  { comment_id: 189, votes: 19 },
  { comment_id: 190, votes: 12 },
  { comment_id: 191, votes: 12 },
  { comment_id: 194, votes: 11 },
  { comment_id: 195, votes: 14 },
  { comment_id: 197, votes: 11 },
  { comment_id: 199, votes: 12 },
  { comment_id: 208, votes: 11 },
  { comment_id: 210, votes: 15 },
  { comment_id: 213, votes: 14 },
  { comment_id: 217, votes: 19 },
  { comment_id: 224, votes: 18 },
  { comment_id: 225, votes: 12 },
  { comment_id: 228, votes: 13 },
  { comment_id: 230, votes: 14 },
  { comment_id: 231, votes: 11 },
  { comment_id: 233, votes: 19 },
  { comment_id: 236, votes: 16 },
  { comment_id: 239, votes: 20 },
  { comment_id: 241, votes: 14 },
  { comment_id: 246, votes: 20 },
  { comment_id: 248, votes: 15 },
  { comment_id: 251, votes: 11 },
  { comment_id: 254, votes: 16 },
  { comment_id: 257, votes: 16 },
  { comment_id: 262, votes: 14 },
  { comment_id: 263, votes: 12 },
  { comment_id: 264, votes: 17 },
  { comment_id: 267, votes: 18 },
  { comment_id: 272, votes: 17 },
  { comment_id: 276, votes: 20 },
  { comment_id: 278, votes: 19 },
  { comment_id: 279, votes: 12 },
  { comment_id: 281, votes: 12 },
  { comment_id: 286, votes: 19 },
  { comment_id: 288, votes: 17 },
  { comment_id: 296, votes: 19 },
  { comment_id: 298, votes: 13 },
  { comment_id: 299, votes: 14 }
]
